Image,Face Detected,Face Recognized,Names
app/src/main/java/faceRecognition/experiments/data/angles/image_39.png,True,True,Alexx
app/src/main/java/faceRecognition/experiments/data/angles/image_49.png,True,False,
app/src/main/java/faceRecognition/experiments/data/angles/image_48.png,False,False,
app/src/main/java/faceRecognition/experiments/data/angles/image_43.png,True,False,
app/src/main/java/faceRecognition/experiments/data/angles/image_42.png,True,True,Alexx
app/src/main/java/faceRecognition/experiments/data/angles/image_40.png,True,False,
app/src/main/java/faceRecognition/experiments/data/angles/image_41.png,False,False,
app/src/main/java/faceRecognition/experiments/data/angles/image_51.png,True,False,
app/src/main/java/faceRecognition/experiments/data/angles/image_45.png,True,False,
app/src/main/java/faceRecognition/experiments/data/angles/image_44.png,True,False,
app/src/main/java/faceRecognition/experiments/data/angles/image_50.png,True,False,
app/src/main/java/faceRecognition/experiments/data/angles/image_46.png,True,False,
app/src/main/java/faceRecognition/experiments/data/angles/image_52.png,True,True,Alexx
app/src/main/java/faceRecognition/experiments/data/angles/image_47.png,True,False,
